id,email_text,category,sentiment,priority,email_length,clean_text,tokens,tokens_no_stopwords,lemmatized_tokens
2483,The product I received was completely different from what was described on your website. I need a refund.,Refund,Negative,Medium,18,the product i received was completely different from what was described on your website i need a refund,"['the', 'product', 'i', 'received', 'was', 'completely', 'different', 'from', 'what', 'was', 'described', 'on', 'your', 'website', 'i', 'need', 'a', 'refund']","['product', 'received', 'completely', 'different', 'described', 'website', 'need', 'refund']","['product', 'received', 'completely', 'different', 'described', 'website', 'need', 'refund']"
2484,What security measures does your company take to protect customer data and prevent unauthorized access?,General Inquiry,Neutral,Low,15,what security measures does your company take to protect customer data and prevent unauthorized access,"['what', 'security', 'measures', 'does', 'your', 'company', 'take', 'to', 'protect', 'customer', 'data', 'and', 'prevent', 'unauthorized', 'access']","['security', 'measures', 'company', 'take', 'protect', 'customer', 'data', 'prevent', 'unauthorized', 'access']","['security', 'measure', 'company', 'take', 'protect', 'customer', 'data', 'prevent', 'unauthorized', 'access']"
2485,Can you explain the difference between your monthly and annual subscription plans?,General Inquiry,Neutral,Low,12,can you explain the difference between your monthly and annual subscription plans,"['can', 'you', 'explain', 'the', 'difference', 'between', 'your', 'monthly', 'and', 'annual', 'subscription', 'plans']","['explain', 'difference', 'monthly', 'annual', 'subscription', 'plans']","['explain', 'difference', 'monthly', 'annual', 'subscription', 'plan']"
2486,The product I received was completely different from what was described on your website. I need a refund.,Refund,Negative,High,18,the product i received was completely different from what was described on your website i need a refund,"['the', 'product', 'i', 'received', 'was', 'completely', 'different', 'from', 'what', 'was', 'described', 'on', 'your', 'website', 'i', 'need', 'a', 'refund']","['product', 'received', 'completely', 'different', 'described', 'website', 'need', 'refund']","['product', 'received', 'completely', 'different', 'described', 'website', 'need', 'refund']"
2487,My subscription renewed automatically for $49.99 but I had cancelled it last month. Please refund immediately.,Billing,Neutral,High,16,my subscription renewed automatically for but i had cancelled it last month please refund immediately,"['my', 'subscription', 'renewed', 'automatically', 'for', 'but', 'i', 'had', 'cancelled', 'it', 'last', 'month', 'please', 'refund', 'immediately']","['subscription', 'renewed', 'automatically', 'cancelled', 'last', 'month', 'please', 'refund', 'immediately']","['subscription', 'renewed', 'automatically', 'cancelled', 'last', 'month', 'please', 'refund', 'immediately']"
2488,"My monthly bill shows additional charges that were not part of my original plan. Total charged: ₹10,000.",Billing,Negative,High,17,my monthly bill shows additional charges that were not part of my original plan total charged,"['my', 'monthly', 'bill', 'shows', 'additional', 'charges', 'that', 'were', 'not', 'part', 'of', 'my', 'original', 'plan', 'total', 'charged']","['monthly', 'bill', 'shows', 'additional', 'charges', 'part', 'original', 'plan', 'total', 'charged']","['monthly', 'bill', 'show', 'additional', 'charge', 'part', 'original', 'plan', 'total', 'charged']"
2489,What are the data backup and recovery policies for accounts on the premium subscription plan?,General Inquiry,Neutral,Medium,15,what are the data backup and recovery policies for accounts on the premium subscription plan,"['what', 'are', 'the', 'data', 'backup', 'and', 'recovery', 'policies', 'for', 'accounts', 'on', 'the', 'premium', 'subscription', 'plan']","['data', 'backup', 'recovery', 'policies', 'accounts', 'premium', 'subscription', 'plan']","['data', 'backup', 'recovery', 'policy', 'account', 'premium', 'subscription', 'plan']"
2490,Your product quality has severely degraded. What I received was nothing like what was advertised.,Complaint,Negative,High,15,your product quality has severely degraded what i received was nothing like what was advertised,"['your', 'product', 'quality', 'has', 'severely', 'degraded', 'what', 'i', 'received', 'was', 'nothing', 'like', 'what', 'was', 'advertised']","['product', 'quality', 'severely', 'degraded', 'received', 'nothing', 'like', 'advertised']","['product', 'quality', 'severely', 'degraded', 'received', 'nothing', 'like', 'advertised']"
2491,I cannot sync my data across devices. The sync was working fine until the last update.,Technical,Negative,High,16,i cannot sync my data across devices the sync was working fine until the last update,"['i', 'can', 'not', 'sync', 'my', 'data', 'across', 'devices', 'the', 'sync', 'was', 'working', 'fine', 'until', 'the', 'last', 'update']","['sync', 'data', 'across', 'devices', 'sync', 'working', 'fine', 'last', 'update']","['sync', 'data', 'across', 'device', 'sync', 'working', 'fine', 'last', 'update']"
2492,I am unable to download my invoice for the month of June. The download button is not working.,Billing,Neutral,High,18,i am unable to download my invoice for the month of june the download button is not working,"['i', 'am', 'unable', 'to', 'download', 'my', 'invoice', 'for', 'the', 'month', 'of', 'june', 'the', 'download', 'button', 'is', 'not', 'working']","['unable', 'download', 'invoice', 'month', 'june', 'download', 'button', 'working']","['unable', 'download', 'invoice', 'month', 'june', 'download', 'button', 'working']"
2493,The response time of your support team has improved considerably over the last few months. Well done.,Feedback,Negative,Low,17,the response time of your support team has improved considerably over the last few months well done,"['the', 'response', 'time', 'of', 'your', 'support', 'team', 'has', 'improved', 'considerably', 'over', 'the', 'last', 'few', 'months', 'well', 'done']","['response', 'time', 'support', 'team', 'improved', 'considerably', 'last', 'months', 'well', 'done']","['response', 'time', 'support', 'team', 'improved', 'considerably', 'last', 'month', 'well', 'done']"
2494,Is there a community forum or knowledge base where I can find answers to common questions?,General Inquiry,Neutral,Low,16,is there a community forum or knowledge base where i can find answers to common questions,"['is', 'there', 'a', 'community', 'forum', 'or', 'knowledge', 'base', 'where', 'i', 'can', 'find', 'answers', 'to', 'common', 'questions']","['community', 'forum', 'knowledge', 'base', 'find', 'answers', 'common', 'questions']","['community', 'forum', 'knowledge', 'base', 'find', 'answer', 'common', 'question']"
2495,"My account shows outstanding balance of ₹7,200 but I have already paid. Please verify and update.",Billing,Neutral,Medium,16,my account shows outstanding balance of but i have already paid please verify and update,"['my', 'account', 'shows', 'outstanding', 'balance', 'of', 'but', 'i', 'have', 'already', 'paid', 'please', 'verify', 'and', 'update']","['account', 'shows', 'outstanding', 'balance', 'already', 'paid', 'please', 'verify', 'update']","['account', 'show', 'outstanding', 'balance', 'already', 'paid', 'please', 'verify', 'update']"
2496,I need to merge two accounts that I accidentally created with different email addresses.,Account,Neutral,Critical,14,i need to merge two accounts that i accidentally created with different email addresses,"['i', 'need', 'to', 'merge', 'two', 'accounts', 'that', 'i', 'accidentally', 'created', 'with', 'different', 'email', 'addresses']","['need', 'merge', 'two', 'accounts', 'accidentally', 'created', 'different', 'email', 'addresses']","['need', 'merge', 'two', 'account', 'accidentally', 'created', 'different', 'email', 'address']"
2497,Can you confirm if your service is available in Australia and if pricing is in local currency?,General Inquiry,Neutral,Medium,17,can you confirm if your service is available in australia and if pricing is in local currency,"['can', 'you', 'confirm', 'if', 'your', 'service', 'is', 'available', 'in', 'australia', 'and', 'if', 'pricing', 'is', 'in', 'local', 'currency']","['confirm', 'service', 'available', 'australia', 'pricing', 'local', 'currency']","['confirm', 'service', 'available', 'australia', 'pricing', 'local', 'currency']"
2498,The product I received was completely different from what was described on your website. I need a refund.,Refund,Neutral,Medium,18,the product i received was completely different from what was described on your website i need a refund,"['the', 'product', 'i', 'received', 'was', 'completely', 'different', 'from', 'what', 'was', 'described', 'on', 'your', 'website', 'i', 'need', 'a', 'refund']","['product', 'received', 'completely', 'different', 'described', 'website', 'need', 'refund']","['product', 'received', 'completely', 'different', 'described', 'website', 'need', 'refund']"
2499,I cancelled my subscription within the trial period but have not received my refund of $499.,Refund,Negative,Medium,16,i cancelled my subscription within the trial period but have not received my refund of,"['i', 'cancelled', 'my', 'subscription', 'within', 'the', 'trial', 'period', 'but', 'have', 'not', 'received', 'my', 'refund', 'of']","['cancelled', 'subscription', 'within', 'trial', 'period', 'received', 'refund']","['cancelled', 'subscription', 'within', 'trial', 'period', 'received', 'refund']"
2500,I cannot integrate your service with Microsoft Teams. The API key authentication is failing.,Technical,Negative,Critical,14,i cannot integrate your service with microsoft teams the api key authentication is failing,"['i', 'can', 'not', 'integrate', 'your', 'service', 'with', 'microsoft', 'teams', 'the', 'api', 'key', 'authentication', 'is', 'failing']","['integrate', 'service', 'microsoft', 'teams', 'api', 'key', 'authentication', 'failing']","['integrate', 'service', 'microsoft', 'team', 'api', 'key', 'authentication', 'failing']"
2501,I would love to have a bulk action feature that allows me to update multiple records at once.,Feedback,Negative,Low,18,i would love to have a bulk action feature that allows me to update multiple records at once,"['i', 'would', 'love', 'to', 'have', 'a', 'bulk', 'action', 'feature', 'that', 'allows', 'me', 'to', 'update', 'multiple', 'records', 'at', 'once']","['would', 'love', 'bulk', 'action', 'feature', 'allows', 'update', 'multiple', 'records']","['would', 'love', 'bulk', 'action', 'feature', 'allows', 'update', 'multiple', 'record']"
2502,Can you explain the difference between your monthly and annual subscription plans?,General Inquiry,Positive,Medium,12,can you explain the difference between your monthly and annual subscription plans,"['can', 'you', 'explain', 'the', 'difference', 'between', 'your', 'monthly', 'and', 'annual', 'subscription', 'plans']","['explain', 'difference', 'monthly', 'annual', 'subscription', 'plans']","['explain', 'difference', 'monthly', 'annual', 'subscription', 'plan']"
2503,I would like to suggest adding a dark mode option to your application for better user experience.,Feedback,Negative,Low,17,i would like to suggest adding a dark mode option to your application for better user experience,"['i', 'would', 'like', 'to', 'suggest', 'adding', 'a', 'dark', 'mode', 'option', 'to', 'your', 'application', 'for', 'better', 'user', 'experience']","['would', 'like', 'suggest', 'adding', 'dark', 'mode', 'option', 'application', 'better', 'user', 'experience']","['would', 'like', 'suggest', 'adding', 'dark', 'mode', 'option', 'application', 'better', 'user', 'experience']"
2504,"My payment of ₹3,500 was deducted but the order was not confirmed. Please check and resolve this issue.",Billing,Neutral,Medium,18,my payment of was deducted but the order was not confirmed please check and resolve this issue,"['my', 'payment', 'of', 'was', 'deducted', 'but', 'the', 'order', 'was', 'not', 'confirmed', 'please', 'check', 'and', 'resolve', 'this', 'issue']","['payment', 'deducted', 'order', 'confirmed', 'please', 'check', 'resolve', 'issue']","['payment', 'deducted', 'order', 'confirmed', 'please', 'check', 'resolve', 'issue']"
2505,The video tutorials on your website are outdated and do not reflect the current version of the software.,Feedback,Negative,Low,18,the video tutorials on your website are outdated and do not reflect the current version of the software,"['the', 'video', 'tutorials', 'on', 'your', 'website', 'are', 'outdated', 'and', 'do', 'not', 'reflect', 'the', 'current', 'version', 'of', 'the', 'software']","['video', 'tutorials', 'website', 'outdated', 'reflect', 'current', 'version', 'software']","['video', 'tutorial', 'website', 'outdated', 'reflect', 'current', 'version', 'software']"
2506,The refund status on my dashboard shows processing for the last 3 days. When will it be credited?,Refund,Negative,Medium,18,the refund status on my dashboard shows processing for the last days when will it be credited,"['the', 'refund', 'status', 'on', 'my', 'dashboard', 'shows', 'processing', 'for', 'the', 'last', 'days', 'when', 'will', 'it', 'be', 'credited']","['refund', 'status', 'dashboard', 'shows', 'processing', 'last', 'days', 'credited']","['refund', 'status', 'dashboard', 'show', 'processing', 'last', 'day', 'credited']"
2507,I need to update my mobile number linked to my account from +91-7654321098 to +1-555-9876.,Account,Negative,High,15,i need to update my mobile number linked to my account from to,"['i', 'need', 'to', 'update', 'my', 'mobile', 'number', 'linked', 'to', 'my', 'account', 'from', 'to']","['need', 'update', 'mobile', 'number', 'linked', 'account']","['need', 'update', 'mobile', 'number', 'linked', 'account']"
2508,The new user interface update is confusing and not user-friendly. Please consider reverting to the old design.,Feedback,Neutral,Medium,17,the new user interface update is confusing and not user friendly please consider reverting to the old design,"['the', 'new', 'user', 'interface', 'update', 'is', 'confusing', 'and', 'not', 'user', 'friendly', 'please', 'consider', 'reverting', 'to', 'the', 'old', 'design']","['new', 'user', 'interface', 'update', 'confusing', 'user', 'friendly', 'please', 'consider', 'reverting', 'old', 'design']","['new', 'user', 'interface', 'update', 'confusing', 'user', 'friendly', 'please', 'consider', 'reverting', 'old', 'design']"
2509,I would like to suggest adding a dark mode option to your application for better user experience.,Feedback,Positive,Medium,17,i would like to suggest adding a dark mode option to your application for better user experience,"['i', 'would', 'like', 'to', 'suggest', 'adding', 'a', 'dark', 'mode', 'option', 'to', 'your', 'application', 'for', 'better', 'user', 'experience']","['would', 'like', 'suggest', 'adding', 'dark', 'mode', 'option', 'application', 'better', 'user', 'experience']","['would', 'like', 'suggest', 'adding', 'dark', 'mode', 'option', 'application', 'better', 'user', 'experience']"
2510,My account shows incorrect subscription status. It shows free plan but I am on the premium plan.,Account,Neutral,High,17,my account shows incorrect subscription status it shows free plan but i am on the premium plan,"['my', 'account', 'shows', 'incorrect', 'subscription', 'status', 'it', 'shows', 'free', 'plan', 'but', 'i', 'am', 'on', 'the', 'premium', 'plan']","['account', 'shows', 'incorrect', 'subscription', 'status', 'shows', 'free', 'plan', 'premium', 'plan']","['account', 'show', 'incorrect', 'subscription', 'status', 'show', 'free', 'plan', 'premium', 'plan']"
2511,The refund status on my dashboard shows processing for the last 14 days. When will it be credited?,Refund,Negative,High,18,the refund status on my dashboard shows processing for the last days when will it be credited,"['the', 'refund', 'status', 'on', 'my', 'dashboard', 'shows', 'processing', 'for', 'the', 'last', 'days', 'when', 'will', 'it', 'be', 'credited']","['refund', 'status', 'dashboard', 'shows', 'processing', 'last', 'days', 'credited']","['refund', 'status', 'dashboard', 'show', 'processing', 'last', 'day', 'credited']"
2512,Is there a community forum or knowledge base where I can find answers to common questions?,General Inquiry,Neutral,Low,16,is there a community forum or knowledge base where i can find answers to common questions,"['is', 'there', 'a', 'community', 'forum', 'or', 'knowledge', 'base', 'where', 'i', 'can', 'find', 'answers', 'to', 'common', 'questions']","['community', 'forum', 'knowledge', 'base', 'find', 'answers', 'common', 'questions']","['community', 'forum', 'knowledge', 'base', 'find', 'answer', 'common', 'question']"
2513,I would like to suggest adding a dark mode option to your application for better user experience.,Feedback,Positive,Medium,17,i would like to suggest adding a dark mode option to your application for better user experience,"['i', 'would', 'like', 'to', 'suggest', 'adding', 'a', 'dark', 'mode', 'option', 'to', 'your', 'application', 'for', 'better', 'user', 'experience']","['would', 'like', 'suggest', 'adding', 'dark', 'mode', 'option', 'application', 'better', 'user', 'experience']","['would', 'like', 'suggest', 'adding', 'dark', 'mode', 'option', 'application', 'better', 'user', 'experience']"
2514,"The EMI deduction of ₹10,000 failed this month. Please help me complete the payment.",Billing,Neutral,Medium,14,the emi deduction of failed this month please help me complete the payment,"['the', 'emi', 'deduction', 'of', 'failed', 'this', 'month', 'please', 'help', 'me', 'complete', 'the', 'payment']","['emi', 'deduction', 'failed', 'month', 'please', 'help', 'complete', 'payment']","['emi', 'deduction', 'failed', 'month', 'please', 'help', 'complete', 'payment']"
2515,My account was suspended without any prior notice or explanation. Please tell me the reason.,Account,Neutral,High,15,my account was suspended without any prior notice or explanation please tell me the reason,"['my', 'account', 'was', 'suspended', 'without', 'any', 'prior', 'notice', 'or', 'explanation', 'please', 'tell', 'me', 'the', 'reason']","['account', 'suspended', 'without', 'prior', 'notice', 'explanation', 'please', 'tell', 'reason']","['account', 'suspended', 'without', 'prior', 'notice', 'explanation', 'please', 'tell', 'reason']"
2516,"My flight was cancelled by the airline and I am requesting a full refund of ₹7,200 for my booking.",Refund,Negative,Medium,19,my flight was cancelled by the airline and i am requesting a full refund of for my booking,"['my', 'flight', 'was', 'cancelled', 'by', 'the', 'airline', 'and', 'i', 'am', 'requesting', 'a', 'full', 'refund', 'of', 'for', 'my', 'booking']","['flight', 'cancelled', 'airline', 'requesting', 'full', 'refund', 'booking']","['flight', 'cancelled', 'airline', 'requesting', 'full', 'refund', 'booking']"
2517,Is there a community forum or knowledge base where I can find answers to common questions?,General Inquiry,Neutral,Medium,16,is there a community forum or knowledge base where i can find answers to common questions,"['is', 'there', 'a', 'community', 'forum', 'or', 'knowledge', 'base', 'where', 'i', 'can', 'find', 'answers', 'to', 'common', 'questions']","['community', 'forum', 'knowledge', 'base', 'find', 'answers', 'common', 'questions']","['community', 'forum', 'knowledge', 'base', 'find', 'answer', 'common', 'question']"
2518,"I returned the product on December 15, 2025 and the return was confirmed but the refund has not been processed.",Refund,Negative,High,20,i returned the product on december and the return was confirmed but the refund has not been processed,"['i', 'returned', 'the', 'product', 'on', 'december', 'and', 'the', 'return', 'was', 'confirmed', 'but', 'the', 'refund', 'has', 'not', 'been', 'processed']","['returned', 'product', 'december', 'return', 'confirmed', 'refund', 'processed']","['returned', 'product', 'december', 'return', 'confirmed', 'refund', 'processed']"
2519,The notification emails are going to spam even after whitelisting your domain. Please help.,Technical,Negative,High,14,the notification emails are going to spam even after whitelisting your domain please help,"['the', 'notification', 'emails', 'are', 'going', 'to', 'spam', 'even', 'after', 'whitelisting', 'your', 'domain', 'please', 'help']","['notification', 'emails', 'going', 'spam', 'even', 'whitelisting', 'domain', 'please', 'help']","['notification', 'email', 'going', 'spam', 'even', 'whitelisting', 'domain', 'please', 'help']"
2520,I am unable to change my username. The option is greyed out in account settings.,Account,Neutral,Critical,15,i am unable to change my username the option is greyed out in account settings,"['i', 'am', 'unable', 'to', 'change', 'my', 'username', 'the', 'option', 'is', 'greyed', 'out', 'in', 'account', 'settings']","['unable', 'change', 'username', 'option', 'greyed', 'account', 'settings']","['unable', 'change', 'username', 'option', 'greyed', 'account', 'setting']"
2521,"I returned the product on April 18, 2026 and the return was confirmed but the refund has not been processed.",Refund,Negative,High,20,i returned the product on april and the return was confirmed but the refund has not been processed,"['i', 'returned', 'the', 'product', 'on', 'april', 'and', 'the', 'return', 'was', 'confirmed', 'but', 'the', 'refund', 'has', 'not', 'been', 'processed']","['returned', 'product', 'april', 'return', 'confirmed', 'refund', 'processed']","['returned', 'product', 'april', 'return', 'confirmed', 'refund', 'processed']"
2522,I need to update my registered email address from customer@outlook.com to newaddress@outlook.com. Please make this change.,Account,Negative,High,16,i need to update my registered email address from to please make this change,"['i', 'need', 'to', 'update', 'my', 'registered', 'email', 'address', 'from', 'to', 'please', 'make', 'this', 'change']","['need', 'update', 'registered', 'email', 'address', 'please', 'make', 'change']","['need', 'update', 'registered', 'email', 'address', 'please', 'make', 'change']"
2523,My profile picture is not updating despite uploading multiple times. The old photo keeps showing.,Account,Neutral,High,15,my profile picture is not updating despite uploading multiple times the old photo keeps showing,"['my', 'profile', 'picture', 'is', 'not', 'updating', 'despite', 'uploading', 'multiple', 'times', 'the', 'old', 'photo', 'keeps', 'showing']","['profile', 'picture', 'updating', 'despite', 'uploading', 'multiple', 'times', 'old', 'photo', 'keeps', 'showing']","['profile', 'picture', 'updating', 'despite', 'uploading', 'multiple', 'time', 'old', 'photo', 'keep', 'showing']"
2524,I accidentally deleted important files from my account. Is there any way to recover them?,Account,Negative,High,15,i accidentally deleted important files from my account is there any way to recover them,"['i', 'accidentally', 'deleted', 'important', 'files', 'from', 'my', 'account', 'is', 'there', 'any', 'way', 'to', 'recover', 'them']","['accidentally', 'deleted', 'important', 'files', 'account', 'way', 'recover']","['accidentally', 'deleted', 'important', 'file', 'account', 'way', 'recover']"
2525,The PDF reports are generating with incorrect data formatting. Numbers appear as text in the downloaded file.,Technical,Negative,High,17,the pdf reports are generating with incorrect data formatting numbers appear as text in the downloaded file,"['the', 'pdf', 'reports', 'are', 'generating', 'with', 'incorrect', 'data', 'formatting', 'numbers', 'appear', 'as', 'text', 'in', 'the', 'downloaded', 'file']","['pdf', 'reports', 'generating', 'incorrect', 'data', 'formatting', 'numbers', 'appear', 'text', 'downloaded', 'file']","['pdf', 'report', 'generating', 'incorrect', 'data', 'formatting', 'number', 'appear', 'text', 'downloaded', 'file']"
2526,I need to cancel my annual subscription and get a pro-rata refund for the remaining 6 months.,Refund,Negative,Medium,17,i need to cancel my annual subscription and get a pro rata refund for the remaining months,"['i', 'need', 'to', 'cancel', 'my', 'annual', 'subscription', 'and', 'get', 'a', 'pro', 'rata', 'refund', 'for', 'the', 'remaining', 'months']","['need', 'cancel', 'annual', 'subscription', 'get', 'pro', 'rata', 'refund', 'remaining', 'months']","['need', 'cancel', 'annual', 'subscription', 'get', 'pro', 'rata', 'refund', 'remaining', 'month']"
2527,I was charged for a service I never used. Please process a refund of $49.99 to my account.,Refund,Negative,High,18,i was charged for a service i never used please process a refund of to my account,"['i', 'was', 'charged', 'for', 'a', 'service', 'i', 'never', 'used', 'please', 'process', 'a', 'refund', 'of', 'to', 'my', 'account']","['charged', 'service', 'never', 'used', 'please', 'process', 'refund', 'account']","['charged', 'service', 'never', 'used', 'please', 'process', 'refund', 'account']"
2528,The integration with third-party tools like Zoho CRM would make your product much more useful for teams.,Feedback,Negative,Medium,17,the integration with third party tools like zoho crm would make your product much more useful for teams,"['the', 'integration', 'with', 'third', 'party', 'tools', 'like', 'zoho', 'crm', 'would', 'make', 'your', 'product', 'much', 'more', 'useful', 'for', 'teams']","['integration', 'third', 'party', 'tools', 'like', 'zoho', 'crm', 'would', 'make', 'product', 'much', 'useful', 'teams']","['integration', 'third', 'party', 'tool', 'like', 'zoho', 'crm', 'would', 'make', 'product', 'much', 'useful', 'team']"
2529,Your pricing plans are not flexible enough for small businesses like mine. Please consider a starter plan.,Feedback,Negative,Low,17,your pricing plans are not flexible enough for small businesses like mine please consider a starter plan,"['your', 'pricing', 'plans', 'are', 'not', 'flexible', 'enough', 'for', 'small', 'businesses', 'like', 'mine', 'please', 'consider', 'a', 'starter', 'plan']","['pricing', 'plans', 'flexible', 'enough', 'small', 'businesses', 'like', 'mine', 'please', 'consider', 'starter', 'plan']","['pricing', 'plan', 'flexible', 'enough', 'small', 'business', 'like', 'mine', 'please', 'consider', 'starter', 'plan']"
2530,"The search functionality is broken. When I search for report, no results are displayed.",Technical,Neutral,High,14,the search functionality is broken when i search for report no results are displayed,"['the', 'search', 'functionality', 'is', 'broken', 'when', 'i', 'search', 'for', 'report', 'no', 'results', 'are', 'displayed']","['search', 'functionality', 'broken', 'search', 'report', 'results', 'displayed']","['search', 'functionality', 'broken', 'search', 'report', 'result', 'displayed']"
2531,The two-factor authentication code is not being delivered to my phone number +91-7654321098.,Technical,Negative,High,13,the two factor authentication code is not being delivered to my phone number,"['the', 'two', 'factor', 'authentication', 'code', 'is', 'not', 'being', 'delivered', 'to', 'my', 'phone', 'number']","['two', 'factor', 'authentication', 'code', 'delivered', 'phone', 'number']","['two', 'factor', 'authentication', 'code', 'delivered', 'phone', 'number']"
2532,"My account preferences are not being saved. Every time I log out, the settings reset to default.",Account,Negative,Critical,17,my account preferences are not being saved every time i log out the settings reset to default,"['my', 'account', 'preferences', 'are', 'not', 'being', 'saved', 'every', 'time', 'i', 'log', 'out', 'the', 'settings', 'reset', 'to', 'default']","['account', 'preferences', 'saved', 'every', 'time', 'log', 'settings', 'reset', 'default']","['account', 'preference', 'saved', 'every', 'time', 'log', 'setting', 'reset', 'default']"
2533,The mobile app is extremely slow and takes more than 30 seconds to load on my OnePlus 10.,Technical,Negative,High,18,the mobile app is extremely slow and takes more than seconds to load on my oneplus,"['the', 'mobile', 'app', 'is', 'extremely', 'slow', 'and', 'takes', 'more', 'than', 'seconds', 'to', 'load', 'on', 'my', 'oneplus']","['mobile', 'app', 'extremely', 'slow', 'takes', 'seconds', 'load', 'oneplus']","['mobile', 'app', 'extremely', 'slow', 'take', 'second', 'load', 'oneplus']"
2534,I am filing a formal complaint about the misleading information provided on your website regarding pricing.,Complaint,Negative,Critical,16,i am filing a formal complaint about the misleading information provided on your website regarding pricing,"['i', 'am', 'filing', 'a', 'formal', 'complaint', 'about', 'the', 'misleading', 'information', 'provided', 'on', 'your', 'website', 'regarding', 'pricing']","['filing', 'formal', 'complaint', 'misleading', 'information', 'provided', 'website', 'regarding', 'pricing']","['filing', 'formal', 'complaint', 'misleading', 'information', 'provided', 'website', 'regarding', 'pricing']"
2535,I am unable to reset my password. The reset link sent to user123@yahoo.com is not working.,Account,Negative,High,16,i am unable to reset my password the reset link sent to is not working,"['i', 'am', 'unable', 'to', 'reset', 'my', 'password', 'the', 'reset', 'link', 'sent', 'to', 'is', 'not', 'working']","['unable', 'reset', 'password', 'reset', 'link', 'sent', 'working']","['unable', 'reset', 'password', 'reset', 'link', 'sent', 'working']"
2536,The response time from your support team is completely unacceptable. I waited 48 hours for a simple reply.,Complaint,Negative,Critical,18,the response time from your support team is completely unacceptable i waited hours for a simple reply,"['the', 'response', 'time', 'from', 'your', 'support', 'team', 'is', 'completely', 'unacceptable', 'i', 'waited', 'hours', 'for', 'a', 'simple', 'reply']","['response', 'time', 'support', 'team', 'completely', 'unacceptable', 'waited', 'hours', 'simple', 'reply']","['response', 'time', 'support', 'team', 'completely', 'unacceptable', 'waited', 'hour', 'simple', 'reply']"
2537,What is the process for requesting a custom feature or reporting a product bug to your team?,General Inquiry,Positive,Medium,17,what is the process for requesting a custom feature or reporting a product bug to your team,"['what', 'is', 'the', 'process', 'for', 'requesting', 'a', 'custom', 'feature', 'or', 'reporting', 'a', 'product', 'bug', 'to', 'your', 'team']","['process', 'requesting', 'custom', 'feature', 'reporting', 'product', 'bug', 'team']","['process', 'requesting', 'custom', 'feature', 'reporting', 'product', 'bug', 'team']"
2538,I need to cancel my annual subscription and get a pro-rata refund for the remaining 2 months.,Refund,Negative,High,17,i need to cancel my annual subscription and get a pro rata refund for the remaining months,"['i', 'need', 'to', 'cancel', 'my', 'annual', 'subscription', 'and', 'get', 'a', 'pro', 'rata', 'refund', 'for', 'the', 'remaining', 'months']","['need', 'cancel', 'annual', 'subscription', 'get', 'pro', 'rata', 'refund', 'remaining', 'months']","['need', 'cancel', 'annual', 'subscription', 'get', 'pro', 'rata', 'refund', 'remaining', 'month']"
2539,Can you explain the difference between your monthly and annual subscription plans?,General Inquiry,Neutral,Medium,12,can you explain the difference between your monthly and annual subscription plans,"['can', 'you', 'explain', 'the', 'difference', 'between', 'your', 'monthly', 'and', 'annual', 'subscription', 'plans']","['explain', 'difference', 'monthly', 'annual', 'subscription', 'plans']","['explain', 'difference', 'monthly', 'annual', 'subscription', 'plan']"
2540,"I am getting error code ERR_TIMEOUT when trying to log in to the system. This has been happening since December 15, 2025.",Technical,Negative,High,22,i am getting error code err timeout when trying to log in to the system this has been happening since december,"['i', 'am', 'getting', 'error', 'code', 'err', 'timeout', 'when', 'trying', 'to', 'log', 'in', 'to', 'the', 'system', 'this', 'has', 'been', 'happening', 'since', 'december']","['getting', 'error', 'code', 'err', 'timeout', 'trying', 'log', 'system', 'happening', 'since', 'december']","['getting', 'error', 'code', 'err', 'timeout', 'trying', 'log', 'system', 'happening', 'since', 'december']"
2541,"I cancelled my subscription within the trial period but have not received my refund of ₹5,000.",Refund,Negative,High,16,i cancelled my subscription within the trial period but have not received my refund of,"['i', 'cancelled', 'my', 'subscription', 'within', 'the', 'trial', 'period', 'but', 'have', 'not', 'received', 'my', 'refund', 'of']","['cancelled', 'subscription', 'within', 'trial', 'period', 'received', 'refund']","['cancelled', 'subscription', 'within', 'trial', 'period', 'received', 'refund']"
2542,The integration with third-party tools like QuickBooks would make your product much more useful for teams.,Feedback,Positive,Medium,16,the integration with third party tools like quickbooks would make your product much more useful for teams,"['the', 'integration', 'with', 'third', 'party', 'tools', 'like', 'quickbooks', 'would', 'make', 'your', 'product', 'much', 'more', 'useful', 'for', 'teams']","['integration', 'third', 'party', 'tools', 'like', 'quickbooks', 'would', 'make', 'product', 'much', 'useful', 'teams']","['integration', 'third', 'party', 'tool', 'like', 'quickbooks', 'would', 'make', 'product', 'much', 'useful', 'team']"
2543,I am filing a formal complaint about the misleading information provided on your website regarding pricing.,Complaint,Neutral,Critical,16,i am filing a formal complaint about the misleading information provided on your website regarding pricing,"['i', 'am', 'filing', 'a', 'formal', 'complaint', 'about', 'the', 'misleading', 'information', 'provided', 'on', 'your', 'website', 'regarding', 'pricing']","['filing', 'formal', 'complaint', 'misleading', 'information', 'provided', 'website', 'regarding', 'pricing']","['filing', 'formal', 'complaint', 'misleading', 'information', 'provided', 'website', 'regarding', 'pricing']"
