contract_text,supplier,product,quantity,price,delivery_date,payment_terms
"
    Supplier: Global Minerals

    Product: Industrial Solvent

    Quantity: 8070 Tons

    Price: ₹8529/Ton

    Delivery Date: 9 February 2026

    Payment Terms: Advance Payment

    Global Minerals agrees to supply 8070 Tons of Industrial Solvent
    at ₹8529 per Ton.

    Delivery shall be completed by 9 February 2026.

    Payment Terms: Advance Payment.
    ",Global Minerals,Industrial Solvent,8070 Tons,8529,9 February 2026,Advance Payment
"
    Supplier: ABC Chemicals

    Product: Industrial Solvent

    Quantity: 7068 Tons

    Price: ₹46700/Ton

    Delivery Date: 26 June 2026

    Payment Terms: Payment After Delivery

    ABC Chemicals agrees to supply 7068 Tons of Industrial Solvent
    at ₹46700 per Ton.

    Delivery shall be completed by 26 June 2026.

    Payment Terms: Payment After Delivery.
    ",ABC Chemicals,Industrial Solvent,7068 Tons,46700,26 June 2026,Payment After Delivery
"
    Supplier: ABC Chemicals

    Product: Fertilizer

    Quantity: 4358 Tons

    Price: ₹13373/Ton

    Delivery Date: 18 February 2026

    Payment Terms: 50% Advance

    ABC Chemicals agrees to supply 4358 Tons of Fertilizer
    at ₹13373 per Ton.

    Delivery shall be completed by 18 February 2026.

    Payment Terms: 50% Advance.
    ",ABC Chemicals,Fertilizer,4358 Tons,13373,18 February 2026,50% Advance
"
    Supplier: National Plastics

    Product: Plastic Granules

    Quantity: 1508 Tons

    Price: ₹30850/Ton

    Delivery Date: 27 December 2026

    Payment Terms: Net 45 Days

    National Plastics agrees to supply 1508 Tons of Plastic Granules
    at ₹30850 per Ton.

    Delivery shall be completed by 27 December 2026.

    Payment Terms: Net 45 Days.
    ",National Plastics,Plastic Granules,1508 Tons,30850,27 December 2026,Net 45 Days
"
    Supplier: Green Agro Pvt Ltd

    Product: Industrial Solvent

    Quantity: 3128 Tons

    Price: ₹9637/Ton

    Delivery Date: 11 May 2026

    Payment Terms: Net 30 Days

    Green Agro Pvt Ltd agrees to supply 3128 Tons of Industrial Solvent
    at ₹9637 per Ton.

    Delivery shall be completed by 11 May 2026.

    Payment Terms: Net 30 Days.
    ",Green Agro Pvt Ltd,Industrial Solvent,3128 Tons,9637,11 May 2026,Net 30 Days
"
    Supplier: Green Agro Pvt Ltd

    Product: Fertilizer

    Quantity: 3158 Tons

    Price: ₹43245/Ton

    Delivery Date: 15 March 2026

    Payment Terms: Net 45 Days

    Green Agro Pvt Ltd agrees to supply 3158 Tons of Fertilizer
    at ₹43245 per Ton.

    Delivery shall be completed by 15 March 2026.

    Payment Terms: Net 45 Days.
    ",Green Agro Pvt Ltd,Fertilizer,3158 Tons,43245,15 March 2026,Net 45 Days
"
    Supplier: Bharat Steel Ltd

    Product: Plastic Granules

    Quantity: 5858 Tons

    Price: ₹18135/Ton

    Delivery Date: 1 April 2026

    Payment Terms: Net 45 Days

    Bharat Steel Ltd agrees to supply 5858 Tons of Plastic Granules
    at ₹18135 per Ton.

    Delivery shall be completed by 1 April 2026.

    Payment Terms: Net 45 Days.
    ",Bharat Steel Ltd,Plastic Granules,5858 Tons,18135,1 April 2026,Net 45 Days
"
    Supplier: Global Minerals

    Product: Iron Rods

    Quantity: 452 Tons

    Price: ₹6501/Ton

    Delivery Date: 18 September 2026

    Payment Terms: Advance Payment

    Global Minerals agrees to supply 452 Tons of Iron Rods
    at ₹6501 per Ton.

    Delivery shall be completed by 18 September 2026.

    Payment Terms: Advance Payment.
    ",Global Minerals,Iron Rods,452 Tons,6501,18 September 2026,Advance Payment
"
    Supplier: Global Minerals

    Product: Plastic Granules

    Quantity: 2166 Tons

    Price: ₹27150/Ton

    Delivery Date: 23 December 2026

    Payment Terms: 50% Advance

    Global Minerals agrees to supply 2166 Tons of Plastic Granules
    at ₹27150 per Ton.

    Delivery shall be completed by 23 December 2026.

    Payment Terms: 50% Advance.
    ",Global Minerals,Plastic Granules,2166 Tons,27150,23 December 2026,50% Advance
"
    Supplier: Global Minerals

    Product: Fertilizer

    Quantity: 3334 Tons

    Price: ₹8387/Ton

    Delivery Date: 28 January 2026

    Payment Terms: 50% Advance

    Global Minerals agrees to supply 3334 Tons of Fertilizer
    at ₹8387 per Ton.

    Delivery shall be completed by 28 January 2026.

    Payment Terms: 50% Advance.
    ",Global Minerals,Fertilizer,3334 Tons,8387,28 January 2026,50% Advance
"
    Supplier: Global Minerals

    Product: Iron Rods

    Quantity: 2317 Tons

    Price: ₹16681/Ton

    Delivery Date: 3 January 2026

    Payment Terms: Net 30 Days

    Global Minerals agrees to supply 2317 Tons of Iron Rods
    at ₹16681 per Ton.

    Delivery shall be completed by 3 January 2026.

    Payment Terms: Net 30 Days.
    ",Global Minerals,Iron Rods,2317 Tons,16681,3 January 2026,Net 30 Days
"
    Supplier: ABC Chemicals

    Product: Copper Wire

    Quantity: 2458 Tons

    Price: ₹12215/Ton

    Delivery Date: 21 September 2026

    Payment Terms: Payment After Delivery

    ABC Chemicals agrees to supply 2458 Tons of Copper Wire
    at ₹12215 per Ton.

    Delivery shall be completed by 21 September 2026.

    Payment Terms: Payment After Delivery.
    ",ABC Chemicals,Copper Wire,2458 Tons,12215,21 September 2026,Payment After Delivery
"
    Supplier: National Plastics

    Product: Copper Wire

    Quantity: 3406 Tons

    Price: ₹20997/Ton

    Delivery Date: 8 December 2026

    Payment Terms: Net 45 Days

    National Plastics agrees to supply 3406 Tons of Copper Wire
    at ₹20997 per Ton.

    Delivery shall be completed by 8 December 2026.

    Payment Terms: Net 45 Days.
    ",National Plastics,Copper Wire,3406 Tons,20997,8 December 2026,Net 45 Days
"
    Supplier: National Plastics

    Product: Industrial Solvent

    Quantity: 2108 Tons

    Price: ₹35463/Ton

    Delivery Date: 23 May 2026

    Payment Terms: Advance Payment

    National Plastics agrees to supply 2108 Tons of Industrial Solvent
    at ₹35463 per Ton.

    Delivery shall be completed by 23 May 2026.

    Payment Terms: Advance Payment.
    ",National Plastics,Industrial Solvent,2108 Tons,35463,23 May 2026,Advance Payment
"
    Supplier: Green Agro Pvt Ltd

    Product: Iron Rods

    Quantity: 1052 Tons

    Price: ₹30066/Ton

    Delivery Date: 19 August 2026

    Payment Terms: Net 30 Days

    Green Agro Pvt Ltd agrees to supply 1052 Tons of Iron Rods
    at ₹30066 per Ton.

    Delivery shall be completed by 19 August 2026.

    Payment Terms: Net 30 Days.
    ",Green Agro Pvt Ltd,Iron Rods,1052 Tons,30066,19 August 2026,Net 30 Days
"
    Supplier: ABC Chemicals

    Product: Plastic Granules

    Quantity: 7787 Tons

    Price: ₹30070/Ton

    Delivery Date: 7 February 2026

    Payment Terms: Net 30 Days

    ABC Chemicals agrees to supply 7787 Tons of Plastic Granules
    at ₹30070 per Ton.

    Delivery shall be completed by 7 February 2026.

    Payment Terms: Net 30 Days.
    ",ABC Chemicals,Plastic Granules,7787 Tons,30070,7 February 2026,Net 30 Days
"
    Supplier: Green Agro Pvt Ltd

    Product: Plastic Granules

    Quantity: 6217 Tons

    Price: ₹10556/Ton

    Delivery Date: 1 February 2026

    Payment Terms: Advance Payment

    Green Agro Pvt Ltd agrees to supply 6217 Tons of Plastic Granules
    at ₹10556 per Ton.

    Delivery shall be completed by 1 February 2026.

    Payment Terms: Advance Payment.
    ",Green Agro Pvt Ltd,Plastic Granules,6217 Tons,10556,1 February 2026,Advance Payment
"
    Supplier: Bharat Steel Ltd

    Product: Copper Wire

    Quantity: 7238 Tons

    Price: ₹32455/Ton

    Delivery Date: 2 June 2026

    Payment Terms: Net 30 Days

    Bharat Steel Ltd agrees to supply 7238 Tons of Copper Wire
    at ₹32455 per Ton.

    Delivery shall be completed by 2 June 2026.

    Payment Terms: Net 30 Days.
    ",Bharat Steel Ltd,Copper Wire,7238 Tons,32455,2 June 2026,Net 30 Days
"
    Supplier: National Plastics

    Product: Copper Wire

    Quantity: 5556 Tons

    Price: ₹31375/Ton

    Delivery Date: 16 May 2026

    Payment Terms: Advance Payment

    National Plastics agrees to supply 5556 Tons of Copper Wire
    at ₹31375 per Ton.

    Delivery shall be completed by 16 May 2026.

    Payment Terms: Advance Payment.
    ",National Plastics,Copper Wire,5556 Tons,31375,16 May 2026,Advance Payment
"
    Supplier: Green Agro Pvt Ltd

    Product: Copper Wire

    Quantity: 763 Tons

    Price: ₹41057/Ton

    Delivery Date: 25 May 2026

    Payment Terms: Net 45 Days

    Green Agro Pvt Ltd agrees to supply 763 Tons of Copper Wire
    at ₹41057 per Ton.

    Delivery shall be completed by 25 May 2026.

    Payment Terms: Net 45 Days.
    ",Green Agro Pvt Ltd,Copper Wire,763 Tons,41057,25 May 2026,Net 45 Days
"
    Supplier: Bharat Steel Ltd

    Product: Plastic Granules

    Quantity: 2955 Tons

    Price: ₹8237/Ton

    Delivery Date: 20 January 2026

    Payment Terms: 50% Advance

    Bharat Steel Ltd agrees to supply 2955 Tons of Plastic Granules
    at ₹8237 per Ton.

    Delivery shall be completed by 20 January 2026.

    Payment Terms: 50% Advance.
    ",Bharat Steel Ltd,Plastic Granules,2955 Tons,8237,20 January 2026,50% Advance
"
    Supplier: ABC Chemicals

    Product: Iron Rods

    Quantity: 4778 Tons

    Price: ₹4605/Ton

    Delivery Date: 9 March 2026

    Payment Terms: Net 30 Days

    ABC Chemicals agrees to supply 4778 Tons of Iron Rods
    at ₹4605 per Ton.

    Delivery shall be completed by 9 March 2026.

    Payment Terms: Net 30 Days.
    ",ABC Chemicals,Iron Rods,4778 Tons,4605,9 March 2026,Net 30 Days
"
    Supplier: Green Agro Pvt Ltd

    Product: Iron Rods

    Quantity: 9965 Tons

    Price: ₹972/Ton

    Delivery Date: 20 December 2026

    Payment Terms: 50% Advance

    Green Agro Pvt Ltd agrees to supply 9965 Tons of Iron Rods
    at ₹972 per Ton.

    Delivery shall be completed by 20 December 2026.

    Payment Terms: 50% Advance.
    ",Green Agro Pvt Ltd,Iron Rods,9965 Tons,972,20 December 2026,50% Advance
"
    Supplier: Global Minerals

    Product: Copper Wire

    Quantity: 5255 Tons

    Price: ₹43918/Ton

    Delivery Date: 15 January 2026

    Payment Terms: Net 45 Days

    Global Minerals agrees to supply 5255 Tons of Copper Wire
    at ₹43918 per Ton.

    Delivery shall be completed by 15 January 2026.

    Payment Terms: Net 45 Days.
    ",Global Minerals,Copper Wire,5255 Tons,43918,15 January 2026,Net 45 Days
"
    Supplier: Green Agro Pvt Ltd

    Product: Industrial Solvent

    Quantity: 2261 Tons

    Price: ₹30265/Ton

    Delivery Date: 6 July 2026

    Payment Terms: 50% Advance

    Green Agro Pvt Ltd agrees to supply 2261 Tons of Industrial Solvent
    at ₹30265 per Ton.

    Delivery shall be completed by 6 July 2026.

    Payment Terms: 50% Advance.
    ",Green Agro Pvt Ltd,Industrial Solvent,2261 Tons,30265,6 July 2026,50% Advance
"
    Supplier: Global Minerals

    Product: Copper Wire

    Quantity: 3610 Tons

    Price: ₹38023/Ton

    Delivery Date: 13 December 2026

    Payment Terms: Advance Payment

    Global Minerals agrees to supply 3610 Tons of Copper Wire
    at ₹38023 per Ton.

    Delivery shall be completed by 13 December 2026.

    Payment Terms: Advance Payment.
    ",Global Minerals,Copper Wire,3610 Tons,38023,13 December 2026,Advance Payment
"
    Supplier: Bharat Steel Ltd

    Product: Plastic Granules

    Quantity: 1928 Tons

    Price: ₹19683/Ton

    Delivery Date: 16 March 2026

    Payment Terms: Payment After Delivery

    Bharat Steel Ltd agrees to supply 1928 Tons of Plastic Granules
    at ₹19683 per Ton.

    Delivery shall be completed by 16 March 2026.

    Payment Terms: Payment After Delivery.
    ",Bharat Steel Ltd,Plastic Granules,1928 Tons,19683,16 March 2026,Payment After Delivery
"
    Supplier: National Plastics

    Product: Iron Rods

    Quantity: 5077 Tons

    Price: ₹13476/Ton

    Delivery Date: 27 April 2026

    Payment Terms: 50% Advance

    National Plastics agrees to supply 5077 Tons of Iron Rods
    at ₹13476 per Ton.

    Delivery shall be completed by 27 April 2026.

    Payment Terms: 50% Advance.
    ",National Plastics,Iron Rods,5077 Tons,13476,27 April 2026,50% Advance
"
    Supplier: Global Minerals

    Product: Iron Rods

    Quantity: 5150 Tons

    Price: ₹18746/Ton

    Delivery Date: 5 December 2026

    Payment Terms: Advance Payment

    Global Minerals agrees to supply 5150 Tons of Iron Rods
    at ₹18746 per Ton.

    Delivery shall be completed by 5 December 2026.

    Payment Terms: Advance Payment.
    ",Global Minerals,Iron Rods,5150 Tons,18746,5 December 2026,Advance Payment
"
    Supplier: National Plastics

    Product: Fertilizer

    Quantity: 5808 Tons

    Price: ₹17284/Ton

    Delivery Date: 21 December 2026

    Payment Terms: Net 30 Days

    National Plastics agrees to supply 5808 Tons of Fertilizer
    at ₹17284 per Ton.

    Delivery shall be completed by 21 December 2026.

    Payment Terms: Net 30 Days.
    ",National Plastics,Fertilizer,5808 Tons,17284,21 December 2026,Net 30 Days
"
    Supplier: National Plastics

    Product: Iron Rods

    Quantity: 5729 Tons

    Price: ₹20847/Ton

    Delivery Date: 11 September 2026

    Payment Terms: Net 45 Days

    National Plastics agrees to supply 5729 Tons of Iron Rods
    at ₹20847 per Ton.

    Delivery shall be completed by 11 September 2026.

    Payment Terms: Net 45 Days.
    ",National Plastics,Iron Rods,5729 Tons,20847,11 September 2026,Net 45 Days
"
    Supplier: Bharat Steel Ltd

    Product: Plastic Granules

    Quantity: 4766 Tons

    Price: ₹6791/Ton

    Delivery Date: 2 October 2026

    Payment Terms: Advance Payment

    Bharat Steel Ltd agrees to supply 4766 Tons of Plastic Granules
    at ₹6791 per Ton.

    Delivery shall be completed by 2 October 2026.

    Payment Terms: Advance Payment.
    ",Bharat Steel Ltd,Plastic Granules,4766 Tons,6791,2 October 2026,Advance Payment
"
    Supplier: Bharat Steel Ltd

    Product: Iron Rods

    Quantity: 6331 Tons

    Price: ₹17415/Ton

    Delivery Date: 4 May 2026

    Payment Terms: Net 30 Days

    Bharat Steel Ltd agrees to supply 6331 Tons of Iron Rods
    at ₹17415 per Ton.

    Delivery shall be completed by 4 May 2026.

    Payment Terms: Net 30 Days.
    ",Bharat Steel Ltd,Iron Rods,6331 Tons,17415,4 May 2026,Net 30 Days
"
    Supplier: ABC Chemicals

    Product: Plastic Granules

    Quantity: 5086 Tons

    Price: ₹44248/Ton

    Delivery Date: 1 April 2026

    Payment Terms: Advance Payment

    ABC Chemicals agrees to supply 5086 Tons of Plastic Granules
    at ₹44248 per Ton.

    Delivery shall be completed by 1 April 2026.

    Payment Terms: Advance Payment.
    ",ABC Chemicals,Plastic Granules,5086 Tons,44248,1 April 2026,Advance Payment
"
    Supplier: Green Agro Pvt Ltd

    Product: Copper Wire

    Quantity: 702 Tons

    Price: ₹41706/Ton

    Delivery Date: 18 February 2026

    Payment Terms: Net 30 Days

    Green Agro Pvt Ltd agrees to supply 702 Tons of Copper Wire
    at ₹41706 per Ton.

    Delivery shall be completed by 18 February 2026.

    Payment Terms: Net 30 Days.
    ",Green Agro Pvt Ltd,Copper Wire,702 Tons,41706,18 February 2026,Net 30 Days
"
    Supplier: National Plastics

    Product: Copper Wire

    Quantity: 1264 Tons

    Price: ₹27282/Ton

    Delivery Date: 13 December 2026

    Payment Terms: 50% Advance

    National Plastics agrees to supply 1264 Tons of Copper Wire
    at ₹27282 per Ton.

    Delivery shall be completed by 13 December 2026.

    Payment Terms: 50% Advance.
    ",National Plastics,Copper Wire,1264 Tons,27282,13 December 2026,50% Advance
"
    Supplier: Bharat Steel Ltd

    Product: Plastic Granules

    Quantity: 8185 Tons

    Price: ₹28875/Ton

    Delivery Date: 18 March 2026

    Payment Terms: Net 30 Days

    Bharat Steel Ltd agrees to supply 8185 Tons of Plastic Granules
    at ₹28875 per Ton.

    Delivery shall be completed by 18 March 2026.

    Payment Terms: Net 30 Days.
    ",Bharat Steel Ltd,Plastic Granules,8185 Tons,28875,18 March 2026,Net 30 Days
"
    Supplier: ABC Chemicals

    Product: Copper Wire

    Quantity: 1002 Tons

    Price: ₹1476/Ton

    Delivery Date: 11 September 2026

    Payment Terms: 50% Advance

    ABC Chemicals agrees to supply 1002 Tons of Copper Wire
    at ₹1476 per Ton.

    Delivery shall be completed by 11 September 2026.

    Payment Terms: 50% Advance.
    ",ABC Chemicals,Copper Wire,1002 Tons,1476,11 September 2026,50% Advance
"
    Supplier: National Plastics

    Product: Industrial Solvent

    Quantity: 5727 Tons

    Price: ₹6119/Ton

    Delivery Date: 19 March 2026

    Payment Terms: Net 30 Days

    National Plastics agrees to supply 5727 Tons of Industrial Solvent
    at ₹6119 per Ton.

    Delivery shall be completed by 19 March 2026.

    Payment Terms: Net 30 Days.
    ",National Plastics,Industrial Solvent,5727 Tons,6119,19 March 2026,Net 30 Days
"
    Supplier: Global Minerals

    Product: Plastic Granules

    Quantity: 6121 Tons

    Price: ₹47957/Ton

    Delivery Date: 21 April 2026

    Payment Terms: Advance Payment

    Global Minerals agrees to supply 6121 Tons of Plastic Granules
    at ₹47957 per Ton.

    Delivery shall be completed by 21 April 2026.

    Payment Terms: Advance Payment.
    ",Global Minerals,Plastic Granules,6121 Tons,47957,21 April 2026,Advance Payment
"
    Supplier: National Plastics

    Product: Iron Rods

    Quantity: 5562 Tons

    Price: ₹49833/Ton

    Delivery Date: 17 September 2026

    Payment Terms: Net 30 Days

    National Plastics agrees to supply 5562 Tons of Iron Rods
    at ₹49833 per Ton.

    Delivery shall be completed by 17 September 2026.

    Payment Terms: Net 30 Days.
    ",National Plastics,Iron Rods,5562 Tons,49833,17 September 2026,Net 30 Days
"
    Supplier: Green Agro Pvt Ltd

    Product: Fertilizer

    Quantity: 1706 Tons

    Price: ₹27188/Ton

    Delivery Date: 9 July 2026

    Payment Terms: Net 30 Days

    Green Agro Pvt Ltd agrees to supply 1706 Tons of Fertilizer
    at ₹27188 per Ton.

    Delivery shall be completed by 9 July 2026.

    Payment Terms: Net 30 Days.
    ",Green Agro Pvt Ltd,Fertilizer,1706 Tons,27188,9 July 2026,Net 30 Days
"
    Supplier: Global Minerals

    Product: Fertilizer

    Quantity: 7711 Tons

    Price: ₹28966/Ton

    Delivery Date: 1 October 2026

    Payment Terms: 50% Advance

    Global Minerals agrees to supply 7711 Tons of Fertilizer
    at ₹28966 per Ton.

    Delivery shall be completed by 1 October 2026.

    Payment Terms: 50% Advance.
    ",Global Minerals,Fertilizer,7711 Tons,28966,1 October 2026,50% Advance
"
    Supplier: Green Agro Pvt Ltd

    Product: Industrial Solvent

    Quantity: 9337 Tons

    Price: ₹632/Ton

    Delivery Date: 8 April 2026

    Payment Terms: Net 30 Days

    Green Agro Pvt Ltd agrees to supply 9337 Tons of Industrial Solvent
    at ₹632 per Ton.

    Delivery shall be completed by 8 April 2026.

    Payment Terms: Net 30 Days.
    ",Green Agro Pvt Ltd,Industrial Solvent,9337 Tons,632,8 April 2026,Net 30 Days
"
    Supplier: Global Minerals

    Product: Fertilizer

    Quantity: 133 Tons

    Price: ₹24661/Ton

    Delivery Date: 16 February 2026

    Payment Terms: Net 30 Days

    Global Minerals agrees to supply 133 Tons of Fertilizer
    at ₹24661 per Ton.

    Delivery shall be completed by 16 February 2026.

    Payment Terms: Net 30 Days.
    ",Global Minerals,Fertilizer,133 Tons,24661,16 February 2026,Net 30 Days
"
    Supplier: Bharat Steel Ltd

    Product: Iron Rods

    Quantity: 3571 Tons

    Price: ₹26803/Ton

    Delivery Date: 10 May 2026

    Payment Terms: Payment After Delivery

    Bharat Steel Ltd agrees to supply 3571 Tons of Iron Rods
    at ₹26803 per Ton.

    Delivery shall be completed by 10 May 2026.

    Payment Terms: Payment After Delivery.
    ",Bharat Steel Ltd,Iron Rods,3571 Tons,26803,10 May 2026,Payment After Delivery
"
    Supplier: ABC Chemicals

    Product: Iron Rods

    Quantity: 4809 Tons

    Price: ₹25798/Ton

    Delivery Date: 8 November 2026

    Payment Terms: Advance Payment

    ABC Chemicals agrees to supply 4809 Tons of Iron Rods
    at ₹25798 per Ton.

    Delivery shall be completed by 8 November 2026.

    Payment Terms: Advance Payment.
    ",ABC Chemicals,Iron Rods,4809 Tons,25798,8 November 2026,Advance Payment
"
    Supplier: Global Minerals

    Product: Iron Rods

    Quantity: 1707 Tons

    Price: ₹32864/Ton

    Delivery Date: 18 October 2026

    Payment Terms: 50% Advance

    Global Minerals agrees to supply 1707 Tons of Iron Rods
    at ₹32864 per Ton.

    Delivery shall be completed by 18 October 2026.

    Payment Terms: 50% Advance.
    ",Global Minerals,Iron Rods,1707 Tons,32864,18 October 2026,50% Advance
"
    Supplier: ABC Chemicals

    Product: Copper Wire

    Quantity: 9641 Tons

    Price: ₹23434/Ton

    Delivery Date: 25 October 2026

    Payment Terms: Advance Payment

    ABC Chemicals agrees to supply 9641 Tons of Copper Wire
    at ₹23434 per Ton.

    Delivery shall be completed by 25 October 2026.

    Payment Terms: Advance Payment.
    ",ABC Chemicals,Copper Wire,9641 Tons,23434,25 October 2026,Advance Payment
"
    Supplier: Global Minerals

    Product: Iron Rods

    Quantity: 9679 Tons

    Price: ₹44080/Ton

    Delivery Date: 21 December 2026

    Payment Terms: 50% Advance

    Global Minerals agrees to supply 9679 Tons of Iron Rods
    at ₹44080 per Ton.

    Delivery shall be completed by 21 December 2026.

    Payment Terms: 50% Advance.
    ",Global Minerals,Iron Rods,9679 Tons,44080,21 December 2026,50% Advance
"
    Supplier: Global Minerals

    Product: Plastic Granules

    Quantity: 6769 Tons

    Price: ₹42218/Ton

    Delivery Date: 3 February 2026

    Payment Terms: Net 30 Days

    Global Minerals agrees to supply 6769 Tons of Plastic Granules
    at ₹42218 per Ton.

    Delivery shall be completed by 3 February 2026.

    Payment Terms: Net 30 Days.
    ",Global Minerals,Plastic Granules,6769 Tons,42218,3 February 2026,Net 30 Days
"
    Supplier: National Plastics

    Product: Industrial Solvent

    Quantity: 8694 Tons

    Price: ₹7614/Ton

    Delivery Date: 1 May 2026

    Payment Terms: Advance Payment

    National Plastics agrees to supply 8694 Tons of Industrial Solvent
    at ₹7614 per Ton.

    Delivery shall be completed by 1 May 2026.

    Payment Terms: Advance Payment.
    ",National Plastics,Industrial Solvent,8694 Tons,7614,1 May 2026,Advance Payment
"
    Supplier: Green Agro Pvt Ltd

    Product: Industrial Solvent

    Quantity: 1531 Tons

    Price: ₹23087/Ton

    Delivery Date: 2 August 2026

    Payment Terms: Payment After Delivery

    Green Agro Pvt Ltd agrees to supply 1531 Tons of Industrial Solvent
    at ₹23087 per Ton.

    Delivery shall be completed by 2 August 2026.

    Payment Terms: Payment After Delivery.
    ",Green Agro Pvt Ltd,Industrial Solvent,1531 Tons,23087,2 August 2026,Payment After Delivery
"
    Supplier: Green Agro Pvt Ltd

    Product: Iron Rods

    Quantity: 1226 Tons

    Price: ₹2482/Ton

    Delivery Date: 19 June 2026

    Payment Terms: Advance Payment

    Green Agro Pvt Ltd agrees to supply 1226 Tons of Iron Rods
    at ₹2482 per Ton.

    Delivery shall be completed by 19 June 2026.

    Payment Terms: Advance Payment.
    ",Green Agro Pvt Ltd,Iron Rods,1226 Tons,2482,19 June 2026,Advance Payment
"
    Supplier: Global Minerals

    Product: Plastic Granules

    Quantity: 3126 Tons

    Price: ₹43566/Ton

    Delivery Date: 17 March 2026

    Payment Terms: Advance Payment

    Global Minerals agrees to supply 3126 Tons of Plastic Granules
    at ₹43566 per Ton.

    Delivery shall be completed by 17 March 2026.

    Payment Terms: Advance Payment.
    ",Global Minerals,Plastic Granules,3126 Tons,43566,17 March 2026,Advance Payment
"
    Supplier: Bharat Steel Ltd

    Product: Iron Rods

    Quantity: 3933 Tons

    Price: ₹48695/Ton

    Delivery Date: 21 June 2026

    Payment Terms: Advance Payment

    Bharat Steel Ltd agrees to supply 3933 Tons of Iron Rods
    at ₹48695 per Ton.

    Delivery shall be completed by 21 June 2026.

    Payment Terms: Advance Payment.
    ",Bharat Steel Ltd,Iron Rods,3933 Tons,48695,21 June 2026,Advance Payment
"
    Supplier: Green Agro Pvt Ltd

    Product: Industrial Solvent

    Quantity: 3839 Tons

    Price: ₹29500/Ton

    Delivery Date: 5 February 2026

    Payment Terms: Net 45 Days

    Green Agro Pvt Ltd agrees to supply 3839 Tons of Industrial Solvent
    at ₹29500 per Ton.

    Delivery shall be completed by 5 February 2026.

    Payment Terms: Net 45 Days.
    ",Green Agro Pvt Ltd,Industrial Solvent,3839 Tons,29500,5 February 2026,Net 45 Days
"
    Supplier: National Plastics

    Product: Copper Wire

    Quantity: 9521 Tons

    Price: ₹7907/Ton

    Delivery Date: 15 September 2026

    Payment Terms: Payment After Delivery

    National Plastics agrees to supply 9521 Tons of Copper Wire
    at ₹7907 per Ton.

    Delivery shall be completed by 15 September 2026.

    Payment Terms: Payment After Delivery.
    ",National Plastics,Copper Wire,9521 Tons,7907,15 September 2026,Payment After Delivery
"
    Supplier: ABC Chemicals

    Product: Iron Rods

    Quantity: 7914 Tons

    Price: ₹35180/Ton

    Delivery Date: 3 July 2026

    Payment Terms: Net 45 Days

    ABC Chemicals agrees to supply 7914 Tons of Iron Rods
    at ₹35180 per Ton.

    Delivery shall be completed by 3 July 2026.

    Payment Terms: Net 45 Days.
    ",ABC Chemicals,Iron Rods,7914 Tons,35180,3 July 2026,Net 45 Days
"
    Supplier: National Plastics

    Product: Copper Wire

    Quantity: 4864 Tons

    Price: ₹49019/Ton

    Delivery Date: 10 May 2026

    Payment Terms: Net 30 Days

    National Plastics agrees to supply 4864 Tons of Copper Wire
    at ₹49019 per Ton.

    Delivery shall be completed by 10 May 2026.

    Payment Terms: Net 30 Days.
    ",National Plastics,Copper Wire,4864 Tons,49019,10 May 2026,Net 30 Days
"
    Supplier: Green Agro Pvt Ltd

    Product: Industrial Solvent

    Quantity: 2476 Tons

    Price: ₹22876/Ton

    Delivery Date: 14 April 2026

    Payment Terms: Advance Payment

    Green Agro Pvt Ltd agrees to supply 2476 Tons of Industrial Solvent
    at ₹22876 per Ton.

    Delivery shall be completed by 14 April 2026.

    Payment Terms: Advance Payment.
    ",Green Agro Pvt Ltd,Industrial Solvent,2476 Tons,22876,14 April 2026,Advance Payment
"
    Supplier: ABC Chemicals

    Product: Plastic Granules

    Quantity: 7067 Tons

    Price: ₹12661/Ton

    Delivery Date: 7 April 2026

    Payment Terms: Net 30 Days

    ABC Chemicals agrees to supply 7067 Tons of Plastic Granules
    at ₹12661 per Ton.

    Delivery shall be completed by 7 April 2026.

    Payment Terms: Net 30 Days.
    ",ABC Chemicals,Plastic Granules,7067 Tons,12661,7 April 2026,Net 30 Days
"
    Supplier: National Plastics

    Product: Copper Wire

    Quantity: 7977 Tons

    Price: ₹43519/Ton

    Delivery Date: 1 March 2026

    Payment Terms: Payment After Delivery

    National Plastics agrees to supply 7977 Tons of Copper Wire
    at ₹43519 per Ton.

    Delivery shall be completed by 1 March 2026.

    Payment Terms: Payment After Delivery.
    ",National Plastics,Copper Wire,7977 Tons,43519,1 March 2026,Payment After Delivery
"
    Supplier: Bharat Steel Ltd

    Product: Iron Rods

    Quantity: 5476 Tons

    Price: ₹14752/Ton

    Delivery Date: 21 February 2026

    Payment Terms: Net 45 Days

    Bharat Steel Ltd agrees to supply 5476 Tons of Iron Rods
    at ₹14752 per Ton.

    Delivery shall be completed by 21 February 2026.

    Payment Terms: Net 45 Days.
    ",Bharat Steel Ltd,Iron Rods,5476 Tons,14752,21 February 2026,Net 45 Days
"
    Supplier: Green Agro Pvt Ltd

    Product: Copper Wire

    Quantity: 1115 Tons

    Price: ₹26433/Ton

    Delivery Date: 15 May 2026

    Payment Terms: Payment After Delivery

    Green Agro Pvt Ltd agrees to supply 1115 Tons of Copper Wire
    at ₹26433 per Ton.

    Delivery shall be completed by 15 May 2026.

    Payment Terms: Payment After Delivery.
    ",Green Agro Pvt Ltd,Copper Wire,1115 Tons,26433,15 May 2026,Payment After Delivery
